"MUNICIPIO","PERIODO","QTD_INTERNACOES"
"Mirandópolis",2024-01-01 00:00:00,258
"Jaguariúna",2024-01-01 00:00:00,248
"Embu das Artes",2024-01-01 00:00:00,389
"Ituverava",2024-01-01 00:00:00,271
"Promissão",2024-01-01 00:00:00,236
"Olímpia",2024-01-01 00:00:00,247
"Santana de Parnaíba",2024-01-01 00:00:00,356
"São Pedro",2024-01-01 00:00:00,176
"Ibiúna",2024-01-01 00:00:00,278
"Itararé",2024-01-01 00:00:00,256
"Rancharia",2024-01-01 00:00:00,302
"Campo Limpo Paulista",2024-01-01 00:00:00,327
"Porto Feliz",2024-01-01 00:00:00,288
"Votorantim",2024-01-01 00:00:00,351
"Serrana",2024-01-01 00:00:00,320
"Espírito Santo do Pinhal",2024-01-01 00:00:00,332
"Batatais",2024-01-01 00:00:00,324
"Santa Cruz do Rio Pardo",2024-01-01 00:00:00,298
